tcp.stream,ip.src,tcp.srcport,ip.dst,tcp.dstport,frame.protocols
1,192.168.122.31,51280,217.172.170.4,80,eth:ethertype:ip:tcp
2,192.168.122.31,51285,217.172.170.4,80,eth:ethertype:ip:tcp
3,192.168.122.31,51309,217.172.170.4,80,eth:ethertype:ip:tcp
4,192.168.122.31,51310,23.213.142.27,80,eth:ethertype:ip:tcp
5,192.168.122.31,51317,179.60.192.3,443,eth:ethertype:ip:tcp
6,192.168.122.31,51318,50.31.164.174,443,eth:ethertype:ip:tcp
7,192.168.122.31,51319,50.31.164.174,443,eth:ethertype:ip:tcp
8,192.168.122.31,51326,2.16.162.8,443,eth:ethertype:ip:tcp
9,192.168.122.31,51327,2.16.162.8,443,eth:ethertype:ip:tcp
10,192.168.122.31,51328,104.86.110.35,443,eth:ethertype:ip:tcp
11,192.168.122.31,51329,104.86.110.35,443,eth:ethertype:ip:tcp
12,192.168.122.31,51330,104.86.110.35,443,eth:ethertype:ip:tcp
13,192.168.122.31,51331,104.86.110.35,443,eth:ethertype:ip:tcp
14,192.168.122.31,51332,104.86.110.35,443,eth:ethertype:ip:tcp
15,192.168.122.31,51333,104.86.110.35,443,eth:ethertype:ip:tcp
16,192.168.122.31,51334,80.239.236.112,443,eth:ethertype:ip:tcp
17,192.168.122.31,51335,80.239.236.112,443,eth:ethertype:ip:tcp
18,192.168.122.31,51336,77.67.11.98,443,eth:ethertype:ip:tcp
19,192.168.122.31,51337,195.22.26.252,80,eth:ethertype:ip:tcp
20,192.168.122.31,51339,77.67.11.98,443,eth:ethertype:ip:tcp
21,192.168.122.31,51340,77.67.11.98,443,eth:ethertype:ip:tcp
22,192.168.122.31,51342,77.67.11.98,443,eth:ethertype:ip:tcp
23,192.168.122.31,51343,104.86.110.35,443,eth:ethertype:ip:tcp
24,192.168.122.31,51344,104.86.110.35,443,eth:ethertype:ip:tcp
25,192.168.122.31,51347,104.86.110.35,443,eth:ethertype:ip:tcp
26,192.168.122.31,51348,104.86.110.35,443,eth:ethertype:ip:tcp
27,192.168.122.31,51349,104.86.110.35,443,eth:ethertype:ip:tcp
28,192.168.122.31,51350,104.86.110.35,443,eth:ethertype:ip:tcp
29,192.168.122.31,51351,195.22.26.248,80,eth:ethertype:ip:tcp
30,192.168.122.31,51352,195.22.26.231,80,eth:ethertype:ip:tcp
31,192.168.122.31,51353,95.211.205.228,80,eth:ethertype:ip:tcp
32,192.168.122.31,51354,179.60.192.3,443,eth:ethertype:ip:tcp
33,192.168.122.31,51355,179.60.192.3,443,eth:ethertype:ip:tcp
34,192.168.122.31,51356,207.182.157.154,80,eth:ethertype:ip:tcp
35,192.168.122.31,51265,173.194.45.32,443,eth:ethertype:ip:tcp
36,192.168.122.31,51266,173.194.45.32,443,eth:ethertype:ip:tcp
37,192.168.122.31,51264,216.58.211.68,443,eth:ethertype:ip:tcp
38,192.168.122.31,51263,216.58.211.68,443,eth:ethertype:ip:tcp
39,192.168.122.31,51262,173.194.45.47,443,eth:ethertype:ip:tcp
40,192.168.122.31,51261,173.194.45.47,443,eth:ethertype:ip:tcp
41,192.168.122.31,51260,173.194.45.63,443,eth:ethertype:ip:tcp
42,192.168.122.31,51259,173.194.45.63,443,eth:ethertype:ip:tcp
43,192.168.122.31,51253,173.194.45.55,80,eth:ethertype:ip:tcp
44,192.168.122.31,51268,173.194.45.55,443,eth:ethertype:ip:tcp
45,192.168.122.31,51267,173.194.45.55,443,eth:ethertype:ip:tcp
46,192.168.122.31,51269,173.194.45.55,443,eth:ethertype:ip:tcp
47,192.168.122.31,51250,74.125.195.139,80,eth:ethertype:ip:tcp
48,192.168.122.31,51251,74.125.195.139,80,eth:ethertype:ip:tcp
49,192.168.122.31,51249,191.234.5.80,80,eth:ethertype:ip:tcp
50,192.168.122.31,51357,95.211.205.228,80,eth:ethertype:ip:tcp
51,192.168.122.31,51358,185.82.216.236,80,eth:ethertype:ip:tcp
52,192.168.122.31,51359,37.48.110.164,80,eth:ethertype:ip:tcp
53,192.168.122.31,51360,104.193.252.232,80,eth:ethertype:ip:tcp
54,192.168.122.31,51361,85.25.41.103,80,eth:ethertype:ip:tcp
55,192.168.122.31,51362,37.130.226.157,80,eth:ethertype:ip:tcp
56,192.168.122.31,51363,185.82.216.236,80,eth:ethertype:ip:tcp
57,192.168.122.31,51364,104.193.252.232,80,eth:ethertype:ip:tcp
58,192.168.122.31,51365,37.130.226.157,80,eth:ethertype:ip:tcp
59,192.168.122.31,51366,37.48.110.164,80,eth:ethertype:ip:tcp
60,192.168.122.31,51367,85.25.41.103,80,eth:ethertype:ip:tcp
61,192.168.122.31,51368,37.130.226.157,80,eth:ethertype:ip:tcp
62,192.168.122.31,51369,37.48.110.164,80,eth:ethertype:ip:tcp
63,192.168.122.31,51370,185.82.216.236,80,eth:ethertype:ip:tcp
64,192.168.122.31,51371,207.244.67.72,80,eth:ethertype:ip:tcp
65,192.168.122.31,51372,173.239.42.219,80,eth:ethertype:ip:tcp
66,192.168.122.31,51373,173.239.42.213,80,eth:ethertype:ip:tcp
67,192.168.122.31,51374,173.239.42.219,80,eth:ethertype:ip:tcp
68,192.168.122.31,51375,85.25.41.103,80,eth:ethertype:ip:tcp
69,192.168.122.31,51376,69.172.216.55,80,eth:ethertype:ip:tcp
70,192.168.122.31,51377,88.214.241.193,80,eth:ethertype:ip:tcp
71,192.168.122.31,51378,91.109.242.44,80,eth:ethertype:ip:tcp
72,192.168.122.31,51379,104.193.252.232,80,eth:ethertype:ip:tcp
73,192.168.122.31,51380,104.193.252.232,80,eth:ethertype:ip:tcp
74,192.168.122.31,51381,69.172.216.55,80,eth:ethertype:ip:tcp
75,192.168.122.31,51382,74.125.140.101,80,eth:ethertype:ip:tcp
76,192.168.122.31,51383,37.130.226.157,80,eth:ethertype:ip:tcp
77,192.168.122.31,51384,37.130.226.157,80,eth:ethertype:ip:tcp
78,192.168.122.31,51385,69.172.216.58,80,eth:ethertype:ip:tcp
79,192.168.122.31,51386,69.172.216.111,80,eth:ethertype:ip:tcp
80,192.168.122.31,51387,69.172.216.111,80,eth:ethertype:ip:tcp
