Address A,Port A,Address B,Port B,Packet B to A Frames,Packet B to A Bytes,Packet A to B Frames,Packet A to B Bytes,Total Packet,Total Bytes,Relative Start,Duration
10.25.22.253:59195,8.8.8.8,53,1,285,1,75,2,360,149928.125293,0.0241,
10.25.22.253:58855,8.8.8.8,53,1,107,1,75,2,182,1318660.82828,0.0259,
10.25.22.253:57344,8.8.8.8,53,1,93,1,77,2,170,1318660.090087,0.0259,
10.25.22.253:56847,8.8.8.8,53,1,87,1,71,2,158,149928.120835,0.0259,
10.25.22.253:56011,8.8.8.8,53,1,106,1,71,2,177,1318671.324348,0.0261,
10.25.22.253:52672,8.8.8.8,53,1,92,1,76,2,168,1318671.351391,0.0261,
10.25.22.253:56331,8.8.8.8,53,1,96,1,80,2,176,1318660.712782,0.0261,
10.25.22.253:56979,8.8.8.8,53,1,88,1,72,2,160,1318670.332238,0.0263,
10.25.22.253:65069,8.8.8.8,53,1,93,1,77,2,170,1318659.659199,0.0264,
10.25.22.253:49460,8.8.8.8,53,1,90,1,74,2,164,149927.139433,0.0264,
10.25.22.253:62620,8.8.8.8,53,1,90,1,74,2,164,1318671.519569,0.0264,
10.25.22.253:64703,8.8.8.8,53,1,88,1,72,2,160,1318655.372873,0.0264,
10.25.22.253:64705,8.8.8.8,53,1,93,1,77,2,170,1318659.63148,0.0265,
10.25.22.253:60016,8.8.8.8,53,1,137,1,78,2,215,1318647.467583,0.0265,
10.25.22.253:64708,8.8.8.8,53,1,115,1,76,2,191,1318670.253323,0.0265,
10.25.22.253:55808,8.8.8.8,53,1,98,1,82,2,180,1318660.463617,0.0266,
10.25.22.253:61723,8.8.8.8,53,1,162,1,76,2,238,149870.390468,0.0266,
10.25.22.253:62315,8.8.8.8,53,1,162,1,76,2,238,149870.280628,0.0267,
10.25.22.253:60228,8.8.8.8,53,1,162,1,76,2,238,149869.558593,0.0267,
10.25.22.253:64695,8.8.8.8,53,1,163,1,77,2,240,149870.479452,0.0267,
10.21.22.253:39134,8.8.8.8,53,5,419,5,419,10,838,153808.225565,0.0267,
10.25.22.253:51781,8.8.8.8,53,1,162,1,76,2,238,149869.695002,0.0268,
10.25.22.253:54171,8.8.8.8,53,1,163,1,77,2,240,149871.14135,0.0268,
10.25.22.253:57552,8.8.8.8,53,1,132,1,76,2,208,1318661.428978,0.0269,
10.25.22.253:58463,8.8.8.8,53,1,145,1,82,2,227,1318660.655178,0.027,
10.25.22.253:61695,8.8.8.8,53,1,93,1,77,2,170,1318660.030409,0.027,
10.25.22.253:64693,8.8.8.8,53,1,163,1,77,2,240,149871.113044,0.0271,
10.25.22.253:64689,8.8.8.8,53,1,163,1,77,2,240,149870.82146,0.0271,
10.25.22.253:51979,8.8.8.8,53,1,162,1,76,2,238,149871.061322,0.0271,
10.25.22.253:64680,8.8.8.8,53,1,162,1,76,2,238,149869.902954,0.0272,
10.25.22.253:54178,8.8.8.8,53,1,163,1,77,2,240,149871.153557,0.0272,
10.25.22.253:55699,8.8.8.8,53,1,86,1,70,2,156,1318660.739952,0.0272,
10.25.22.253:52323,8.8.8.8,53,1,162,1,76,2,238,149870.754181,0.0272,
10.25.22.253:58583,8.8.8.8,53,1,94,1,78,2,172,1318661.457727,0.0272,
10.25.22.253:64691,8.8.8.8,53,1,163,1,77,2,240,149871.032867,0.0272,
10.25.22.253:62294,8.8.8.8,53,1,228,1,77,2,305,149837.022834,0.0273,
10.25.22.253:57698,8.8.8.8,53,1,163,1,77,2,240,149871.089671,0.0273,
10.25.22.253:58034,8.8.8.8,53,1,163,1,77,2,240,149870.512056,0.0273,
10.25.22.253:62198,8.8.8.8,53,1,163,1,77,2,240,149870.605046,0.0273,
10.25.22.253:53184,8.8.8.8,53,1,163,1,77,2,240,149869.666253,0.0274,
10.25.22.253:64682,8.8.8.8,53,1,162,1,76,2,238,149870.104171,0.0274,
10.25.22.253:55053,8.8.8.8,53,1,162,1,76,2,238,149870.645617,0.0274,
10.25.22.253:60327,8.8.8.8,53,1,86,1,70,2,156,1318671.378745,0.0274,
10.25.22.253:53772,8.8.8.8,53,1,163,1,77,2,240,149869.765249,0.0274,
10.25.22.253:54651,8.8.8.8,53,1,119,1,82,2,201,149928.317711,0.0274,
10.25.22.253:65006,8.8.8.8,53,1,120,1,83,2,203,149928.390401,0.0274,
10.25.22.253:57595,8.8.8.8,53,1,162,1,76,2,238,149870.873404,0.0275,
10.25.22.253:54713,8.8.8.8,53,1,162,1,76,2,238,149869.858978,0.0275,
10.25.22.253:61876,8.8.8.8,53,1,162,1,76,2,238,149870.238907,0.0276,
10.25.22.253:54342,8.8.8.8,53,1,162,1,76,2,238,149870.697315,0.0276,
10.25.22.253:60822,8.8.8.8,53,1,91,1,75,2,166,149831.518361,0.0276,
10.25.22.253:62047,8.8.8.8,53,1,105,1,73,2,178,1318660.768469,0.0277,
10.25.22.253:59394,8.8.8.8,53,1,93,1,77,2,170,1318659.687137,0.0277,
10.25.22.253:60452,8.8.8.8,53,1,82,1,66,2,148,149823.054941,0.0277,
10.25.22.253:50001,8.8.8.8,53,1,108,1,72,2,180,149837.224626,0.0277,
10.25.22.253:53670,8.8.8.8,53,1,90,1,74,2,164,1318661.165254,0.0277,
10.25.22.253:54806,8.8.8.8,53,1,175,1,73,2,248,149928.332059,0.0277,
10.25.22.253:59690,8.8.8.8,53,1,170,1,84,2,254,149869.971024,0.0277,
10.25.22.253:52203,8.8.8.8,53,1,88,1,72,2,160,149926.824532,0.0278,
10.21.22.253:39151,8.8.8.8,53,1,85,1,85,2,170,153808.252712,0.0278,
10.25.22.253:49613,8.8.8.8,53,1,162,1,76,2,238,149870.297549,0.0278,
10.25.22.253:58627,8.8.8.8,53,1,162,1,76,2,238,149869.586282,0.0278,
10.25.22.253:49824,8.8.8.8,53,1,92,1,76,2,168,1318647.438285,0.0278,
10.21.22.253:38136,8.8.8.8,53,2,298,2,164,4,462,153939.989901,0.0279,
10.25.22.253:50324,8.8.8.8,53,1,228,1,77,2,305,149837.241316,0.0279,
10.25.22.253:64688,8.8.8.8,53,1,167,1,81,2,248,149870.79492,0.0279,
10.25.22.253:60153,8.8.8.8,53,1,163,1,77,2,240,149870.823809,0.0279,
10.25.22.253:50938,8.8.8.8,53,1,162,1,76,2,238,149870.604448,0.0279,
10.25.22.253:51541,8.8.8.8,53,1,165,1,75,2,240,149990.566632,0.028,
10.25.22.253:49852,8.8.8.8,53,1,167,1,81,2,248,149869.989399,0.028,
10.25.22.253:64684,8.8.8.8,53,1,163,1,77,2,240,149870.418255,0.028,
10.25.22.253:59029,8.8.8.8,53,1,91,1,75,2,166,1318660.855525,0.0281,
10.25.22.253:62505,8.8.8.8,53,1,162,1,76,2,238,149870.978227,0.0281,
10.25.22.253:57013,8.8.8.8,53,1,162,1,76,2,238,149869.664754,0.0282,
10.25.22.253:50966,8.8.8.8,53,1,162,1,76,2,238,149871.08303,0.0282,
10.25.22.253:50562,8.8.8.8,53,1,91,1,75,2,166,149928.383647,0.0282,
10.25.22.253:49897,8.8.8.8,53,1,162,1,76,2,238,149869.432725,0.0282,
10.25.22.253:55393,8.8.8.8,53,1,162,1,76,2,238,149870.268029,0.0283,
10.25.22.253:53512,8.8.8.8,53,1,170,1,81,2,251,1318660.683289,0.0283,
10.25.22.253:62385,8.8.8.8,53,1,93,1,77,2,170,1318660.117608,0.0283,
10.25.22.253:50620,8.8.8.8,53,1,133,1,76,2,209,149820.582056,0.0283,
10.25.22.253:60113,8.8.8.8,53,1,90,1,74,2,164,1318661.399087,0.0283,
10.25.22.253:52880,8.8.8.8,53,1,93,1,77,2,170,149928.249256,0.0283,
10.25.22.253:60378,8.8.8.8,53,1,91,1,75,2,166,149928.360988,0.0283,
10.25.22.253:53364,8.8.8.8,53,1,116,1,84,2,200,1318660.612843,0.0284,
10.25.22.253:53155,8.8.8.8,53,1,162,1,76,2,238,149870.77945,0.0284,
10.25.22.253:64685,8.8.8.8,53,1,162,1,76,2,238,149870.583443,0.0285,
10.25.22.253:61993,8.8.8.8,53,1,118,1,86,2,204,1318660.583143,0.0285,
10.25.22.253:54074,8.8.8.8,53,1,162,1,76,2,238,149870.208704,0.0285,
10.25.22.253:57833,8.8.8.8,53,1,162,1,76,2,238,149870.953841,0.0285,
10.25.22.253:58720,8.8.8.8,53,1,163,1,77,2,240,149870.891028,0.0285,
10.25.22.252:57553,8.8.8.8,53,2,168,2,168,4,336,257738.612785,0.0286,
10.25.22.253:56230,8.8.8.8,53,1,162,1,76,2,238,149870.848975,0.0286,
10.25.22.253:64686,8.8.8.8,53,1,162,1,76,2,238,149870.634992,0.0286,
10.25.22.253:64690,8.8.8.8,53,1,163,1,77,2,240,149871.02294,0.0286,
10.25.22.253:50662,8.8.8.8,53,1,87,1,71,2,158,1318660.492307,0.0286,
10.25.22.253:52360,8.8.8.8,53,1,210,1,89,2,299,1318670.878356,0.0286,
10.25.22.253:53705,8.8.8.8,53,1,162,1,76,2,238,149870.043919,0.0286,
10.25.22.253:54439,8.8.8.8,53,1,93,1,77,2,170,1318659.571334,0.0286,
10.25.22.253:52196,8.8.8.8,53,1,163,1,77,2,240,149870.411781,0.0286,
10.25.22.253:57092,8.8.8.8,53,1,163,1,77,2,240,149869.931597,0.0287,
10.25.22.253:49868,8.8.8.8,53,1,163,1,77,2,240,149873.43063,0.0287,
10.25.22.253:57400,8.8.8.8,53,1,162,1,76,2,238,149869.841587,0.0287,
10.25.22.253:54950,8.8.8.8,53,1,130,1,75,2,205,149820.381331,0.0287,
10.25.22.253:52763,8.8.8.8,53,1,163,1,77,2,240,149870.343565,0.0288,
10.25.22.253:50588,8.8.8.8,53,1,91,1,75,2,166,149831.460328,0.0288,
10.25.22.253:57470,8.8.8.8,53,1,163,1,77,2,240,149870.810348,0.0289,
10.25.22.253:65171,8.8.8.8,53,1,162,1,76,2,238,149869.625709,0.0289,
10.25.22.253:62223,8.8.8.8,53,1,162,1,76,2,238,149870.726527,0.0289,
10.25.22.253:61369,8.8.8.8,53,1,91,1,75,2,166,149928.301998,0.0289,
10.25.22.253:56976,8.8.8.8,53,1,162,1,76,2,238,149870.717562,0.029,
10.25.22.253:61170,8.8.8.8,53,1,172,1,76,2,248,1318660.522229,0.029,
10.25.22.253:56511,8.8.8.8,53,1,93,1,77,2,170,1318660.147555,0.029,
10.25.22.253:52891,8.8.8.8,53,1,117,1,83,2,200,149928.090709,0.029,
10.25.22.253:64704,8.8.8.8,53,1,93,1,77,2,170,1318659.60118,0.029,
10.25.22.253:49536,8.8.8.8,53,1,130,1,75,2,205,1318645.32918,0.029,
10.25.22.253:60552,8.8.8.8,53,1,272,1,75,2,347,149831.880047,0.029,
10.25.22.253:56834,8.8.8.8,53,1,116,1,84,2,200,1318660.797776,0.029,
10.25.22.253:56141,8.8.8.8,53,1,162,1,76,2,238,149870.208396,0.0291,
10.25.22.253:55495,8.8.8.8,53,1,91,1,75,2,166,149928.218649,0.0291,
10.25.22.253:55621,8.8.8.8,53,1,162,1,76,2,238,149870.634426,0.0291,
10.25.22.253:64798,8.8.8.8,53,1,92,1,76,2,168,149823.08416,0.0291,
10.25.22.253:56399,8.8.8.8,53,1,162,1,76,2,238,149870.074056,0.0292,
10.25.22.253:58357,8.8.8.8,53,1,163,1,77,2,240,149871.08201,0.0292,
10.25.22.253:56567,8.8.8.8,53,1,117,1,87,2,204,149875.367702,0.0292,
10.25.22.253:57956,8.8.8.8,53,1,93,1,77,2,170,1318660.059089,0.0293,
10.25.22.253:50441,8.8.8.8,53,1,163,1,77,2,240,149871.052786,0.0293,
10.25.22.253:50353,8.8.8.8,53,1,119,1,71,2,190,149837.815274,0.0293,
10.25.22.253:50837,8.8.8.8,53,1,188,1,76,2,264,1318660.552343,0.0293,
10.25.22.253:55051,8.8.8.8,53,1,154,1,74,2,228,149830.624924,0.0293,
10.25.22.253:58665,8.8.8.8,53,1,162,1,76,2,238,149869.887619,0.0293,
10.25.22.253:53200,8.8.8.8,53,1,154,1,78,2,232,149873.851529,0.0294,
10.25.22.253:56279,8.8.8.8,53,1,162,1,76,2,238,149869.940074,0.0294,
10.25.22.253:56743,8.8.8.8,53,1,163,1,77,2,240,149870.879123,0.0294,
10.25.22.253:53090,8.8.8.8,53,1,163,1,77,2,240,149870.124473,0.0294,
10.25.22.253:55498,8.8.8.8,53,1,133,1,86,2,219,149830.816543,0.0295,
10.25.22.253:50702,8.8.8.8,53,1,163,1,77,2,240,149869.871868,0.0295,
10.25.22.253:52412,8.8.8.8,53,1,162,1,76,2,238,149870.012782,0.0295,
10.25.22.253:58642,8.8.8.8,53,1,162,1,76,2,238,149870.093786,0.0295,
10.25.22.253:62309,8.8.8.8,53,1,116,1,76,2,192,149837.815912,0.0296,
10.25.22.253:50578,8.8.8.8,53,1,192,1,75,2,267,1318661.368086,0.0296,
10.25.22.253:55676,8.8.8.8,53,1,163,1,77,2,240,149870.748697,0.0296,
10.25.22.253:55556,8.8.8.8,53,1,163,1,77,2,240,149870.541184,0.0297,
10.25.22.253:56163,8.8.8.8,53,1,162,1,76,2,238,149870.66593,0.0297,
10.25.22.253:51161,8.8.8.8,53,1,162,1,76,2,238,149870.326557,0.0298,
10.25.22.253:51449,8.8.8.8,53,1,109,1,74,2,183,1318661.229722,0.0298,
10.25.22.253:64998,8.8.8.8,53,1,162,1,76,2,238,149869.543924,0.0298,
10.25.22.253:49218,8.8.8.8,53,1,162,1,76,2,238,149870.441888,0.0298,
10.25.22.253:62383,8.8.8.8,53,1,122,1,78,2,200,149867.926616,0.0299,
10.25.22.253:50244,8.8.8.8,53,1,133,1,78,2,211,149928.094035,0.0299,
10.25.22.253:59053,8.8.8.8,53,1,162,1,76,2,238,149869.958931,0.0299,
10.25.22.253:51282,8.8.8.8,53,1,84,1,68,2,152,149928.093957,0.03,
10.25.22.253:64681,8.8.8.8,53,1,162,1,76,2,238,149870.000183,0.03,
10.25.22.253:51266,8.8.8.8,53,1,162,1,76,2,238,149869.704823,0.03,
10.25.22.253:55342,8.8.8.8,53,1,162,1,76,2,238,149870.448379,0.0302,
10.25.22.253:60025,8.8.8.8,53,1,163,1,77,2,240,149870.92213,0.0302,
10.25.22.253:64750,8.8.8.8,53,1,162,1,76,2,238,149870.35896,0.0303,
10.25.22.253:51937,8.8.8.8,53,1,162,1,76,2,238,149869.386848,0.0304,
